Operation Name,Operation Type,Address,City,Total Floor Area,Avg hrs per wk,Annual Flow,Electricity,Natural Gas,GHG Emissions,Energy Intensity
Bloordale Park,Other,20 Toledo Rd,Toronto,0,100,0,78395.83193,0,"3,449",
Burrows Hall Park,Other,161 Burrows Hall Blvd,Scarborough,0,100,0,12382.95559,0,545,
High Park Valleymede Sewage Pumping Stn,Facilities related to the pumping of sewage,66 Ellis Park Rd,Toronto,0,168,19.91994719,134832.687,0,"5,933",
Highfield Sewage Pumping Station,Facilities related to the pumping of sewage,1 Highfield Rd,Toronto,0,168,0,209.875757,0,9,
Pantry Park Storm Pumping Station,Other,70 Kew Beach Ave,Toronto,78,168,0,8453.288202,0,372,108.4
Lower Simcoe Pumping Station,Facilities related to the pumping of sewage,5 Lower Simcoe,Toronto,0,168,878.2411401,70259.22355,0,"3,091",
0 Main St Ple70,Other,0 Main St Ple70,Toronto,0,168,0,2378.190601,0,105,
0 Parkside Dr Pole 140,Other,0 Parkside Dr Pole 140,Toronto,0,168,0,1817.807995,0,80,
St Clair Comm Tower,Other,301 St Clair Ave W,Toronto,0,168,0,84309.28129,0,"3,710",
Elizabeth Simcoe Park,Other,180 Sylvan Ave,Toronto,0,100,0,13867.73751,0,610,
0 Wickman Rd-Near Fordhs,Street lighting,0 Wickman Rd,Toronto,0,70,0,231194.0971,0,"10,173",
100 Rosedale Valley,Other,100 Rosedale Valley Rd,Toronto,2691,100,0,4966.859438,0,219,1.8
101 Old Sheppard,Other,101 Old Sheppard Ave,Toronto,0,168,0,5277.998174,0,232,
1030 Weston Rd,Street lighting,1030 Weston Rd,Toronto,0,168,0,719.221622,0,32,
10 Arundel Ave,Parking garages,10 Arundel Ave,Toronto,11496,168,0,6660.325114,0,293,0.6
10 Daventry Rd,Other,10 Daventry Rd,Toronto,0,100,0,200.983105,0,9,
10 Kingsdale Ave,Parking garages,10 Kingsdale Ave,Toronto,0,168,0,6449.603114,0,284,
Redlands Sewage Pumping Station,Facilities related to the pumping of sewage,10 Redland Cres E,Toronto,0,168,531.8201183,160470.5008,0,"7,061",
110 Queen St W,Parking garages,110 Queen St W,Toronto,598473,168,0,5775449.23,0,"254,120",9.7
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,7352,168,0,2953.748841,0,130,0.4
111 St Andrews Rd,Other,111 St Andrews Road,Toronto,0,100,0,224.517459,0,10,
113 Spadina Rd,Other,113 Spadina Rd,Toronto,0,100,0,8249.291342,12844.27613,"24,639",
113 Spadina Lot,Parking garages,113 Spadina Ave,Toronto,0,168,0,6475.578354,0,285,
1155 King St W,Parking garages,1155 King St W,Toronto,0,168,0,0,0,"1,115",
Marylin Bell Park Water Equipment Shed,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1155 Lake Shore Blvd W,Toronto,700,70,0,22908.20855,0,"1,008",32.7
115 Broadview Ave,Parking garages,115 Broadview Ave,Toronto,26135,168,0,12992.14512,0,572,0.5
Riverwood Sewage Pumping Station,Other,115 Riverwood Pky,Toronto,0,168,0,24382.73445,0,"1,073",
Littles Park,Other,11743 Sheppard Ave. E.,Toronto,0,100,0,220.734039,0,10,
Manchester Park,Other,75 Manchester St,Toronto,0,100,0,7814.423318,0,344,
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,9171,168,0,4254.870538,0,187,0.5
119 Annette Park Lighting,Other,119 Annette St,Toronto,0,100,0,1267.514312,0,56,
11 Grenview Blvd,Parking garages,11 Grenview Blvd,Toronto,0,168,0,5857.446269,0,258,
Port Union Sewage Pumping Station,Facilities related to the pumping of sewage,11 Lakeridge Dr,Toronto,0,168,320.4070123,57896.61235,0,"2,547",
#14 Police Division - NEW,Police stations and associated offices and facilities,11 St. Annes Rd.,Toronto,64200,168,0,1454125.54,33734.60302,"127,740",28.2
Martin Grove Sewage Pumping Station,Facilities related to the pumping of sewage,1200 Martin Grove Rd,Toronto,0,168,42.52581818,22384.59681,0,985,
1231 Queen St W,Other,1231 Queen St W,Toronto,0,100,0,1307.913353,0,58,
Islington Storm Pumping Station,Other,1276 Islington Ave,Etobicoke,450,168,36.14879125,34285.41581,0,"1,509",76.2
Thomas Riley Park,Other,1278 Islington Ave,Toronto,0,100,0,21814.6913,0,960,
Assessment & Referral Ctr (129 Peter),Social housing,342 RICHMOND ST W,Toronto,11780,168,0,245220.1938,23162.545,"54,567",41.6
#12 Police Division,Police stations and associated offices and facilities,200 Trethewey Dr,Toronto,25780,168,0,636025.5542,9850.815147,"46,603",28.7
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,14198,168,0,3772.635624,0,166,0.3
1325 Queen St W,Parking garages,1325 Queen St W,Toronto,12303,168,0,13069.91534,0,575,1.1
Berry Rd Sewage Pumping Station,Facilities related to the pumping of sewage,132 Berry Rd,Toronto,7244,168,69.26657143,12351.21414,0,543,1.7
132 Wellington St W,Parking garages,132 Wellington St W,Toronto,0,168,0,715417.5514,0,"31,478",
134 Spadina Rd,Other,134 Spadina Rd,Toronto,3369,100,0,19299.34224,10509.03903,"20,711",38.7
135 Greenlaw Ave,Parking garages,135 Greenlaw Ave,Toronto,13197,168,0,6950.267788,0,306,0.5
Leonard Linton Park,Other,135 Vanderhoof,Toronto,0,100,0,5708.563887,0,251,
136 Spadina Rd,Other,136 Spadina Rd,Toronto,2626,100,0,4771.091473,0,210,1.8
139 Marcos Blvd,Other,139 Marcos Blvd,Toronto,0,100,0,203.547106,0,9,
Norman Jewison Park,Other,13 Isabella St,Toronto,0,168,0,5005.192482,0,220,
#13 Police Division,Police stations and associated offices and facilities,1435 Eglinton Ave.W.,Toronto,20344,168,0,522653.3565,51048.26779,"119,478",52.2
Greyabbey Trail Sewage Pumping Station,Facilities related to the pumping of sewage,144 Greyabbey Trail,Toronto,1001,168,50.95232665,0,0,"2,348",53.3
146 Harrison St,Parking garages,146 Harrison St,Toronto,15812,168,0,4831.461285,0,213,0.3
149 Hiawatha Rd,Parking garages,149 Hiawatha Rd,Toronto,1399,168,0,5047.634515,0,222,3.6
14 Castlefield Ave,Parking garages,14 Castlefield Ave,Toronto,37620,168,0,37023.65854,0,"1,629",1
Cloud Gardens,Other,14 Temperance St.,Toronto,6243,168,0,103324.6449,0,"50,757",50.4
Richview Park,Other,150 Brampton Rd,Toronto,0,100,0,9434.77304,0,415,
Elmcrest Park,Other,150 Elmcrest Rd,Toronto,0,100,0,41473.94009,0,"1,825",
Rotary Peace Park,Other,153 Lake Shore Dr,Toronto,1647,100,0,7716.43639,2384.791765,"4,847",20
Danforth Avenue Parkettle,Other,1549 Danforth Ave,Toronto,0,100,0,2298.742085,0,101,
Sisken Trail Park,Other,157 Staines Rd,Toronto,0,100,0,922.035574,0,41,
15 Wellesley St E,Parking garages,15 Wellesley St E,Toronto,41603,168,0,34870.28217,0,"1,534",0.8
1608 Danforth Ave,Parking garages,1608 Danforth Ave,Toronto,8708,168,0,7133.53121,0,314,0.8
161 Dynevor Rd,Other,161 Dynevor Rd,Toronto,0,100,0,2871.039201,0,126,
