Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2018,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2018 - Dec/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sector,Municipality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agency Sub-sector,Municipal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Total (calculated in webform),NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Electricity,NA,Natural Gas,NA,Fuel Oil 1 & 2,NA,Fuel Oil 4 & 6,NA,Propane,NA,Coal,NA,Wood,NA,District Heating,NA,NA,NA,District Cooling,NA,NA,NA,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",NA,NA,NA,NA,NA
Stephenson Building,"Administrative offices and related facilities, including municipal council chambers",2160 Yonge Street,Toronto,M7A 2G5,135034,Square meters,70,23516.002240000002,2181065,kWh,125300,Cubic meter,NA,Litre,NA,Litre,NA,Litre,NA,Metric Tonne,NA,Metric Tonne,26.73,Giga Joule,No,0,20.506,Giga Joule,No,0,NA,NA,NA,NA,max. 255 characters
2 Civic Centre Court,"Administrative offices and related facilities, including municipal council chambers",2 Civic Centre Court,Etobicoke,M9C 5A3,46145,Square feet,70,0,1259536.6399680001,kWh,34119.044817000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115197.07384712674,35.100835316990796,NA,CC2,Administrative Offices
51 Lisgar,"Administrative offices and related facilities, including municipal council chambers",51 Lisgar,Toronto,M6J 0B9,10053,Square feet,70,0,70947.464934999996,kWh,5120.6251609999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12565.49900950009,12.434587675942543,NA,51LISGAR,Administrative Offices
Archives and Records Centre,"Administrative offices and related facilities, including municipal council chambers",255 Spadina Rd,Toronto,M5R 2V3,39590,Square feet,70,0,480158.20825800003,kWh,46939.289276999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108376.42677694412,24.644770307374571,NA,ARC,Administrative Offices
