Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2016 - Dec/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
0 Parkside Dr Pole 140,Other,0 Parkside Dr Pole 140,Toronto,M6R 2Y8,0,Square feet,168,0,1827.832675,kWh,0,Cubic meter,,,,,,,,,,,0,0,  ,,  ,0,  ,  ,80,,,0PKSIDE,Water Misc Service
0 Wickman Rd-Near Fordhs,Street lighting,0 Wickman Rd,Toronto,M8Z 1M6,0,Square feet,70,0,280396.8971,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"12,337",,,0WICKM,Streetlighting
1 Norton Ave,Parking garages,1 Norton Ave,Toronto,M6E 1E1,16996,Square feet,168,0,7424.055928,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,327,0.4,,1NORTO,Parking Lots and Garages
1 Simcoe St,Street lighting,1 Simcoe St,Toronto,M5J 2N1,0,Square feet,100,0,625739.913,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"27,533",,,1SIMCOE,Streetlighting
10 Arundel Ave,Parking garages,10 Arundel Ave,Toronto,M4K 1P3,11496,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,314,0.6,,10ARUN,Parking Lots and Garages
10 Daventry Rd,Other,10 Daventry Rd,Toronto,M1H 1X9,0,Square feet,100,0,142.892218,kWh,0,Cubic meter,,,,,,,,,,,0,0,  ,,  ,0,  ,  ,6,,,10DAVE,Outdoor Recreational Facilities
10 Kingsdale Ave,Parking garages,10 Kingsdale Ave,Toronto,M2N 3W1,0,Square feet,168,0,1485.039021,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,65,,,10KING,Parking Lots and Garages
100 Rosedale Valley,Other,100 Rosedale Valley Rd,Toronto,M4W 1P7,2691,Square feet,100,0,6209.533358,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,273,2.3,,100RDV,Leasing
101 Old Sheppard,Other,101 Old Sheppard Ave,Toronto,M2J 3X8,0,Square feet,168,0,6933.502602,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,305,,,101OLDSHEPPARD,Water Misc Service
1030 Weston Rd,Street lighting,1030 Weston Rd,Toronto,M6N 3S2,0,Square feet,168,0,721.542143,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,32,,,1030WESTONRD,Streetlighting
11 Grenview Blvd,Parking garages,11 Grenview Blvd,Toronto,M8X 2J9,0,Square feet,168,0,1321.534845,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,58,,,11GREN,Parking Lots and Garages
110 Queen St W,Parking garages,110 Queen St W,Toronto,M5H 2N1,598473,Square feet,168,0,4733859.827,kWh,2037.333333,Cubic meter,,,,,,,,,,,,,,,,,,,"212,140",7.9,,110QUE,Parking Lots and Garages
111 St Andrews Rd,Other,111 St Andrews Road,Toronto,M1P 4C6,0,Square feet,100,0,221.288776,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,10,,,111STA,Outdoor Recreational Facilities
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,M6J 1J3,7352,Square feet,168,0,3151.656316,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,139,0.4,,1119QU,Parking Lots and Garages
113 Spadina Lot,Parking garages,113 Spadina Ave,Toronto,M5V 2K2,0,Square feet,168,0,6163.635196,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,271,,,113SPADINA,Parking Lots and Garages
113 Spadina Rd,Other,113 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,14322.78086,kWh,3046.683871,Cubic meter,,,,,,,,,,,,,,,,,,,"6,388",,,113SPAD,Leasing
115 Broadview Ave,Parking garages,115 Broadview Ave,Toronto,M4M 1H1,26135,Square feet,168,0,11687.14917,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,514,0.4,,115BRO,Parking Lots and Garages
1155 King St W,Parking garages,1155 King St W,Toronto,M6K 3E4,0,Square feet,168,0,28123.49234,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,237",,,1155KI,Parking Lots and Garages
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,M4E 2W5,9171,Square feet,168,0,3716.294577,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,164,0.4,,117HAM,Parking Lots and Garages
119 Annette Park Lighting,Other,119 Annette St,Toronto,M6P 1N8,0,Square feet,100,0,938.73291,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,41,,,119ANN,Outdoor Recreational Facilities
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,M4J 3A5,14198,Square feet,168,0,3950.59702,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,174,0.3,,12WOOD,Parking Lots and Garages
1231 Queen St W,Other,1231 Queen St W,Toronto,M6K 1L5,0,Square feet,100,0,1356.171467,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,60,,,1231QU,Outdoor Recreational Facilities
132 Wellington St W,Parking garages,132 Wellington St W,Toronto,M5J 2H7,0,Square feet,168,0,719396.9053,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"31,653",,,132WEL,Parking Lots and Garages
1325 Queen St W,Parking garages,1325 Queen St W,Toronto,M6K 1L8,12303,Square feet,168,0,11888.29314,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,523,1.0,,1325QU,Parking Lots and Garages
134 Spadina Rd,Other,134 Spadina Rd,Toronto,M5V 2L4,3369,Square feet,100,0,17045.4986,kWh,9406.225172,Cubic meter,,,,,,,,,,,,,,,,,,,"18,528",34.5,,134SPA,Leasing
135 Greenlaw Ave,Parking garages,135 Greenlaw Ave,Toronto,M6E 1B8,13197,Square feet,168,0,6067.19577,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,267,0.5,,135GRE,Parking Lots and Garages
136 Spadina Rd,Other,136 Spadina Rd,Toronto,M5V 2L4,2626,Square feet,100,0,5246.884579,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,231,2.0,,136SPA,Leasing
139 Marcos Blvd,Other,139 Marcos Blvd,Toronto,M1P 2S2,0,Square feet,100,0,287.521708,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13,,,139MARC,Outdoor Recreational Facilities
14 Castlefield Ave,Parking garages,14 Castlefield Ave,Toronto,M4R 1G4,37620,Square feet,168,0,35289.2932,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,553",0.9,,14CAST,Parking Lots and Garages
14 John St,Parking garages,14 John St,Toronto,M9N 1J3,0,Square feet,168,0,197.139965,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,9,,,PLJS,Parking Lots and Garages
146 Harrison St,Parking garages,146 Harrison St,Toronto,M6J 2A4,15812,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,252,0.4,,146HAR,Parking Lots and Garages
149 Hiawatha Rd,Parking garages,149 Hiawatha Rd,Toronto,M4L 2J6,1399,Square feet,168,0,5159.495509,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,227,3.7,,149HIA,Parking Lots and Garages
15 Wellesley St E,Parking garages,15 Wellesley St E,Toronto,M4Y 3A6,41603,Square feet,168,0,46727.3947,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,056",1.1,,15WELL,Parking Lots and Garages
16 Fuller Ave,Parking garages,16 Fuller Ave,Toronto,M6R 2C4,19547,Square feet,168,0,8026.688945,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,353,0.4,,16FULL,Parking Lots and Garages
16 Lipton Ave,Parking garages,16 Lipton Ave,Toronto,M4K 3S7,0,Square feet,168,0,4425.565974,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,195,,,16LIPT,Parking Lots and Garages
16 Rosehill Ave,Parking garages,16 Rosehill Ave,Toronto,M4T 2B7,0,Square feet,168,0,1009290.483,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"44,409",,,16ROSE,Parking Lots and Garages
1608 Danforth Ave,Parking garages,1608 Danforth Ave,Toronto,M4C 1H6,8708,Square feet,168,0,6803.658172,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,299,0.8,,1608DA,Parking Lots and Garages
161 Spadina Rd,Other,161 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,1958.943758,kWh,6642.825806,Cubic meter,,,,,,,,,,,,,,,,,,,"12,641",,,161SPAD,Leasing
1699 Lake Shore Blvd W,Other,1699 Lake Shore Blvd W,Toronto,M6S 5A3,0,Square feet,168,0,6513.409501,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,287,,,1699LA,Water Misc Service
170 Sumach Park,Other,170 Sumach St,Toronto,M5A 0C3,0,Square feet,100,0,3148.216433,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,139,,,170SUMACH,Outdoor Recreational Facilities
1739 Bayview,Other,1739 Bayview Ave,East York,M4G 3C1,0,Square feet,168,0,911.427956,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,40,,,1739BA,Water Misc Service
17MILL,Other,17 MILL,Toronto,M2P 1B3,0,Square feet,100,0,3655.132828,kWh,393.545455,Cubic meter,,,,,,,,,,,,,,,,,,,905,,,17MILL,Leasing
18 Applebaum,Other,18 Applebaum Terrace,Toronto,M3J 0E7,0,Square feet,100,0,2856.843402,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,126,,,18APPLE,Outdoor Recreational Facilities
18 Ferrier Ave,Parking garages,18 Ferrier Ave,Toronto,M4K 1P7,6900,Square feet,168,0,3063.999329,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,135,0.4,,18FERR,Parking Lots and Garages
18 Ossington Ave,Parking garages,18 Ossington Ave,Toronto,M6J 2Y7,6469,Square feet,168,0,3238.578351,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,142,0.5,,18OSSI,Parking Lots and Garages
180 Roxborough,Other,180 Roxborough,Toronto,M4W 1X8,0,Square feet,100,0,1084.768798,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,48,,,180ROXBOROUH,Outdoor Recreational Facilities
1845 Kingston Rd,Other,1845 Kingston Rd,Toronto,M1N 1G8,2400,Square feet,100,0,475.571188,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,21,0.2,,1845KING,Leasing
2 Church St,Parking garages,2 Church St,Toronto,M5E 1Y8,125023,Square feet,168,0,2191470.254,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"96,425",17.5,,2CHURC,Parking Lots and Garages
2 Civic Centre Court,"Administrative offices and related facilities, including municipal council chambers",2 Civic Centre Court,Toronto,M9C 5A3,46145,Square feet,70,0,1321972.139,kWh,11755.91855,Cubic meter,,,,,,,,,,,,,,,,,,,"80,385",31.3,,CC2,Administrative Offices
20 Augusta Ave,Parking garages,20 Augusta Ave,Toronto,M5E 1Z3,0,Square feet,168,0,18878.39772,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,831,,,20AUGA,Parking Lots and Garages
20 Castle Knock Rd,Parking garages,20 Castle Knock Rd,Toronto,M5N 1A5,0,Square feet,168,0,10657.35865,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,469,,,20CAST,Parking Lots and Garages
20 Charles St E,Parking garages,20 Charles St E,Toronto,M4Y 1T1,0,Square feet,168,0,358965.2877,kWh,8713.827586,Cubic meter,,,,,,,,,,,,,,,,,,,"32,264",,,20CHAR,Parking Lots and Garages
20 Saint Andrews St,Parking garages,20 Saint Andrews St,Toronto,M5T 1K6,0,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"55,412",,,20SAIN,Parking Lots and Garages
200 Mount Olive Dr,Other,200 Mount Olive Dr,Toronto,M9V 3Z5,0,Square feet,100,0,7734.392471,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,340,,,200MOU,Outdoor Recreational Facilities
2000 Lake Shore,Street lighting,2000 Lake Shore Blvd W,Toronto,M6S 5B7,0,Square feet,100,0,7411.322286,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,326,,,2000LA,Streetlighting
201 CLAREMONT ST,Parking garages,201 CLAREMONT ST,Toronto,M6J 2N2,0,Square feet,100,0,6651.932123,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,293,,,201CLAR,Parking Lots and Garages
21 Bedford Park Ave,Parking garages,21 Bedford Park Ave,Toronto,M5M 1J2,0,Square feet,168,0,4863.655677,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,214,,,21BEDF,Parking Lots and Garages
22 Glendonwynne Rd,Parking garages,22 Glendonwynne Rd,Toronto,M6P 3E5,0,Square feet,168,0,6727.778105,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,296,,,22GLEN,Parking Lots and Garages
23 Chester Ave,Parking garages,23 Chester Ave,Toronto,M4K 2Z9,0,Square feet,168,0,5175.449407,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,228,,,23CHES,Parking Lots and Garages
23 Peele Ave,Street lighting,23 Peel Ave,Toronto,M6J 1M3,0,Square feet,100,0,510930.7077,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"22,481",,,23PEEL,Streetlighting
230 Medland St,Parking garages,230 Medland St,Toronto,M6P 1P2,0,Square feet,168,0,7192.551647,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,316,,,230MED,Parking Lots and Garages
235 DANFORTH,Other,235 DANFORTH,Toronto,M1L 3X2,0,Square feet,100,0,61078.1465,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,687",,,235DANFORTH,Leasing
2454 Bloor St W,Parking garages,2454 Bloor St W,Toronto,M6S 1R1,0,Square feet,168,0,456.956811,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,20,,,2454BL,Parking Lots and Garages
25 Glenforest Rd,Parking garages,25 Glenforest Rd,Toronto,M4N 2L6,0,Square feet,168,0,4961.818181,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,218,,,25GLEN,Parking Lots and Garages
253 Macpherson Ave,Parking garages,253 Macpherson Ave,Toronto,M4V 1B9,0,Square feet,168,0,3344.872232,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,147,,,253MAC,Parking Lots and Garages
26 Alvin Ave,Parking garages,26 Alvin Ave,Toronto,M4T 1S2,0,Square feet,168,0,35492.15548,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,562",,,26ALVI,Parking Lots and Garages
265 Armadale Ave,Parking garages,265 Armadale Ave,Toronto,M6S 4T2,0,Square feet,168,0,9057.08502,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,399,,,265ARM,Parking Lots and Garages
265 Durie St,Parking garages,265 Durie St,Toronto,M6S 1N9,0,Square feet,168,0,6587.431423,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,290,,,265DUR,Parking Lots and Garages
266 Besborough,Other,266 Besborough Dr,Toronto,M4G 2E3,0,Square feet,100,0,45.652,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,2,,,266BES,Outdoor Recreational Facilities
268 Rhodes Ave,Parking garages,268 Rhodes Ave,Toronto,M4L 2A3,0,Square feet,168,0,2568.931873,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,113,,,268RHO,Parking Lots and Garages
2696 Eglinton Ave W,Parking garages,2696 Eglinton Ave W,Toronto,M6M 1T9,14790,Square feet,168,0,27108.74356,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,193",1.8,,2696EGL,Parking Lots and Garages
279 Wilson Heights Blvd,Other,279 Wilson Heights Blvd,Toronto,M3H 2V3,0,Square feet,168,0,553.008678,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,24,,,279WIL,Water Misc Service
29 Erindale Ave,Parking garages,29 Erindale Ave,Toronto,M4K 2T7,0,Square feet,168,0,10049.91019,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,442,,,29ERIN,Parking Lots and Garages
29 Old Mill Terr,Other,29 Old Mill Terr,Toronto,M8X 1A1,0,Square feet,168,0,53644.61831,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,360",,,29OLD,Water Misc Service
291 Mill Rd,Other,291 Mill Rd,Toronto,M9C 1Y5,0,Square feet,100,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,0,,,291MIL,Outdoor Recreational Facilities
295 Unwin Ave,Other,295 Unwin Ave,Toronto,M5A 1A3,0,Square feet,100,0,15696.87402,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,691,,,295UNWIN,Outdoor Recreational Facilities
3001 McCowan Rd,Other,3001 McCowan Rd,Toronto,M1V 1B2,0,Square feet,100,0,211.363495,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,9,,,3001MCCOW,Outdoor Recreational Facilities
301 Scott Rd,Parking garages,301 Scott Rd,Toronto,M6M 3V5,0,Square feet,168,0,109363.7452,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"4,812",,,PLSC,Parking Lots and Garages
3045 Brimley Rd,Other,3045 Brimley Rd,Toronto,M1V 1E1,0,Square feet,100,0,136.76316,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,6,,,3045BRIM,Outdoor Recreational Facilities
3079 Kennedy Rd,Other,3079 Kennedy Rd,Toronto,M1V 1S3,0,Square feet,100,0,152.700563,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,7,,,3079KEN,Outdoor Recreational Facilities
3084 Weston Rd,Other,3084 Weston Rd,Toronto,M9M 3A1,0,Square feet,100,0,48847.32531,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,149",,,3084WEST,Outdoor Recreational Facilities
31 Langford Ave,Parking garages,31 Langford Ave,Toronto,M4J 1L6,0,Square feet,168,0,2675.730074,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,118,,,31LANG,Parking Lots and Garages
31 Yorkville Ave,Parking garages,31 Yorkville Ave,Toronto,M4W 3Y8,0,Square feet,168,0,1577782.28,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"69,422",,,31YORK,Parking Lots and Garages
33 Queen St E,Parking garages,33 Queen St E,Toronto,M5C 3G5,173030,Square feet,168,0,490356.8735,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"21,576",2.8,,33QUEE,Parking Lots and Garages
330 University Ave Fountain,Other,330 University Ave,Toronto,M5G 1R8,0,Square feet,100,0,60425.51946,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,659",,,330UNIV,Outdoor Recreational Facilities
33A Riverwood Pky,Other,33A Riverwood Pky,Toronto,M8Y 4E3,0,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,274,,,33ARIV,Water Misc Service
34 Park  Home Ave - Lighting,Other,34 Park  Home Ave - Lighting,North York,M2N 6L3,0,Square feet,100,0,3791.449946,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,167,,,34PARKHLT,Outdoor Recreational Facilities
342 Prince Edward Dr,Parking garages,342 Prince Edward Dr N,Toronto,M8X 1B2,0,Square feet,168,0,10608.79984,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,467,,,342PED,Parking Lots and Garages
349 Keele St,Parking garages,349 Keele St,Toronto,M6P 2K4,0,Square feet,168,0,4866.577894,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,214,,,349KEE,Parking Lots and Garages
35 Bellevue Ave,Parking garages,35 Bellevue Ave,Toronto,M5T 2N4,0,Square feet,168,0,22123.58392,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,973,,,35BELL,Parking Lots and Garages
351 Lippincott St,Parking garages,351 Lippincott St,Toronto,M5S 1Y5,0,Square feet,168,0,16849.98692,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,741,,,351LIP,Parking Lots and Garages
3601 Eglinton Ave W,Other,3601 Eglinton Ave W,Toronto,M6M 1V7,0,Square feet,100,0,34103.40022,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,501",,,3601EG,Outdoor Recreational Facilities
